age_bin_b. 26-30 & 71-100,age_bin_c. 31-35 & 61-70,age_bin_d. 36-40 & 56-60,age_bin_e. 40-55,capital_gl_bin_b. < 0,capital_gl_bin_c. > 0,education_bin_b. Mid,education_bin_c. Bachelors,education_bin_d. Masters,education_bin_e. High,hours_per_week_bin_b. 31-40,hours_per_week_bin_c. 71-100,hours_per_week_bin_d. 41-50 & 61-70,hours_per_week_bin_e. 51-60,msr_bin_b. Mid,msr_bin_c. High,occupation_bin_b. Mid - Low,occupation_bin_c. Mid - Mid,occupation_bin_d. Mid - High,occupation_bin_e. High,race_sex_bin_b. Mid,race_sex_bin_c. High,flag,y
0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,train,0
0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,train,0
0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,train,0
0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,train,0
1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,train,0
0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,train,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,train,0
0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,train,1
0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,train,1
0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,train,1
0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,train,1
1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,train,1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,train,0
0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,train,0
0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,train,1
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,train,0
0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,train,0
0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,train,0
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,train,0
0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,train,1
0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,train,1
0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,train,0
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,train,0
0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,train,0
0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,train,0
0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,train,1
0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,train,0
0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,train,1
0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,train,0
0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,train,0
0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,train,0
0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,train,0
0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,train,0
1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,train,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,train,0
0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,train,0
0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,train,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,train,0
0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,train,1
0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,train,0
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,train,0
0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,train,0
0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,train,0
0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,train,0
0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,train,0
0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,train,1
0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,train,0
0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,train,0
0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,train,0
1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,train,0
0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,train,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,train,0
0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,train,1
0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,train,1
0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,train,0
0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,train,1
0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,train,0
0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,train,0
0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,train,0
1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,train,0
1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,train,0
0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,train,0
0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,train,0
0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,train,1
1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,train,0
0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,train,0
1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,train,0
0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,train,1
0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,train,1
